code,parent_code,like_count,username,text,created_at
C6lC-YJvDSJ,C6lAo13RItv,0,muthu.muthusamy.10004,HAPPY SUNDAY,1715586405.6629124
C6lAum4rW9W,C6lAo13RItv,0,muthuvijayan2024,Cute,1715586405.6629148
C6lCsrNsmgQ,C6lAo13RItv,0,afilirshad,Hii,1715586405.662917
C6pd67oBmLq,C6lAo13RItv,0,shanmugam_nap,Nice smile 😊,1715586405.6629186
C6lDz2iyryY,C6lAo13RItv,0,pshanmugamshanu,Good afternoon very nice photo 👌🏿👌🏿👌🏿🌹🌹🌹🌹🌹🌹👌🏿👌🏿👌🏿,1715586405.6629207
C6lCrgYP2Jz,C6lAo13RItv,0,manikani754,Hi,1715586405.6629238
C6lA3VIrl_o,C6lAo13RItv,0,dheenadeavan,"அழகும்
தோற்று
போகிறது

உன்
அழகை கண்டு 🥰",1715586405.6629257
C6mAiy_P0gw,C6lAo13RItv,0,kesavelraj,கன்னத்தில் தேன் கிண்ணம்,1715586405.6629288
C6ljjqTyTQv,C6lAo13RItv,0,balachandaranbalu,Vanakkam en arumai pondatti 😘❤️,1715586405.6629322
C64ZRSkSmZ0,C6lAo13RItv,0,rajus9765,I love you,1715586405.6629348
C6lDphuS_V0,C6lAo13RItv,0,shann_0077,Hi,1715586405.662937
C6nGCaChZWn,C6lAo13RItv,0,sivakumarindia33,Good morning honey,1715586405.6629384
C6l2QtuMQdP,,96,jalpagajera,હું રીક્ષામાં કેરીનું બોક્સ ભૂલી ગય અને પછી સોશિયલ મીડિયા પર પોસ્ટ કર્યું તો સાંજ સુધીમાં તો ૧૫ બોક્સ ઘરે આવી ગયા. લાગે છે લોકોમાં માણસાઈ હજી જીવે છે.😝,1715586409.9154723
C6mPjBiSHRY,C6l2QtuMQdP,6,chhalak_chau,"લિયો કરો વાત મારે પણ આવુ જ થયું 
હું રીક્ષા રોકવા માટે હાથ ઉંચા કરતો rhiyo પણ કોય રીક્ષા વારા નું ધ્યાન 
મારી તરફ હતું જ નહીં કારણ કે મારી બાજુ ma ઉભેલી યુવતી ને પંદર જેટલા રીક્ષા ચાલક પૂછતાં હતાં ચાલો st સ્ટેન્ડ",1715586409.915487
C6l4Kwwq_zF,C6l2QtuMQdP,2,pnz537,સાચું કેહવાય ને...,1715586409.9154952
C6nqYf-si1A,C6l2QtuMQdP,2,mlvariya143,બધા લાઈન મારવા આવા વોય,1715586409.9154987
C6sYPBcoGz5,C6l2QtuMQdP,0,vipul_kachariya,😅😅😅,1715586409.915502
C6nXc5pItMA,C6l2QtuMQdP,0,tsaiyad,Ane manshai nahi tharki panu kehvay...😜😜😜,1715586409.9155052
C6mAvFFPZgY,C6l2QtuMQdP,1,pansuriymansukh,Na Ben ATO tmamri id no Kamal che,1715586409.9155083
C6nFQEiSztK,C6l2QtuMQdP,3,raaj1mutual4safe3fun,"આ ૧૫ માંથી , ૧૪ અમારા જેવા જરૂરતમંદોને ઘરે મોકલીને તમે ય માણસાઇ જીવતી રાખવાનું કામ કરો...",1715586409.915511
C6mG7FCsDlH,C6l2QtuMQdP,1,bhart_2407,સારું કહેવાય,1715586409.9155157
C6nXPUKS-P0,C6l2QtuMQdP,0,erdxtank,"To pachhi,😀😀😀",1715586409.9155183
C6mAWGtykuK,C6l2QtuMQdP,0,hitesh.pandya.5268,🤣🤣,1715586409.915521
C6vSH-7IboD,C6l2QtuMQdP,0,gkpanchal,Ha aavej tame ketala femas haso andajo lagavo,1715586409.9155247
C6njrouN-FM,C6l2QtuMQdP,0,bijalbm,Moj padi gay ho,1715586409.915527
C6nRelcNa_2,C6l2QtuMQdP,0,drdinesh.c.modh,True story,1715586409.9155293
C6nOitzJ4iz,C6l2QtuMQdP,0,prviinnraavliiyaaa,Ha,1715586409.9155316
C6nf8QNBx_4,C6l2QtuMQdP,0,vishalshah6976,Ene champali keway,1715586409.9155333
C6sSjz_oEJ4,C6l2QtuMQdP,0,appsara_rani,"लोग प्यार के भूखे होते हे,, चाहे वो कोई भी हो,, ओर जिनके दिल में पूरा होता हे, वोही दूसरो की तकलीफ को मद्दे नजर रखते हुए,, जो भी करना ही कर जाते हे",1715586409.9155354
C6l-nfvPjCg,C6l2QtuMQdP,0,mokariya.amit4802,હા હો,1715586409.9155412
C6nBQU_CuzX,C6l2QtuMQdP,0,dilawarpathan0150,,1715586409.9155438
C6nFeJORPOD,C6l2QtuMQdP,0,ashikpchodvadiya,Pasu tamaru hoi aejj lejo,1715586409.9155467
C65oWS2oOVD,,7,poojagohil260,Poojagohil6072,1715586413.2891185
C65JPwnvtF-,C6kbtxqSFV0,55,pritipatel3726,"Smile for your self 
Love your self",1715586413.2891285
C60wr7oNfqU,C6kbtxqSFV0,150,monalidarji1993,A beautiful soul with a strong mind & kind heart💕✨,1715586413.2891319
C60oK9MqaaY,C6kbtxqSFV0,184,dhritipatel493,"Hello pink 💗 
What is yours fav Colour???Threads",1715586413.2891357
C64vwThsdll,C6kbtxqSFV0,41,kajalkevadiya,Sunday in the heart of downtown ❤️ #CityLife 🏙️ kajalkevadiya #detroitdowntown #michigan,1715586413.2891383
C6m9tryvwQy,,92,true._writer_83,♥️♥️♥️♥️♥️,1715586416.3395267
C6nklOLIeWb,C6m9tryvwQy,0,sunbaji.thakor,બરોબર છે,1715586416.3395367
C65pi9mLkyO,,3,hare_krishna_gokulwale,Radhe Radhe,1715586419.3025246
C65np42P-nR,C6k4VT3IRUw,44,umakanta_dalei,JAI SOMNATH JYOTIRLING 🙇‍♂️🙇‍♂️🙇‍♂️,1715586419.3025334
C65kR6UrJWr,C6k4VT3IRUw,176,rambhakthanuman111,Jai Shree Ram🙏🚩🙏🚩🙏🚩,1715586419.3025382
C62y2DoSR_w,C6k4VT3IRUw,16,shreekhodiyarmandir_matel,"🔱આઈ શ્રી ખોડીયાર માતાજી (માટેલ)🚩
⚜️આજ નાં દર્શન🐊
12/05/2024 રવિવાર 

 #jaykhodiyar #matel #khodiyarmaa #jaymataji🙏",1715586419.3025415
C65kn4crIT0,C6k4VT3IRUw,24,official_krishna_2004_,"લાભ // ૐ // લાભ
દ્વારકાધીશ કૃષ્ણ શ્રૃંગાર આરતી દર્શન તા.૧૩/૦૫/૨૦૨૪

👑જય દ્વાཞⅈકાⅅℍⅈશ👑

Facebook  Follow :- Ghanshyam vikani

Insta  Follow: -  @officel_krishna_2004_

#શુભ #ૐ #લાભ
#દ્વારકાધીશકૃષ્ણ #કૃષ્ણશ્રૃંગારઆરતીદર્શન.",1715586419.3025475
C65nMyByEhH,,1,sadhgurushishya_gujrati,"【પોસ્ટ 148】
◆【સિદ્ધસિદ્ધાંત પદ્ધતિ ગ્રંથ 】◆
●【રચયીયા ગોરખનાથ】● પ્રચંડ યોગી
■■■■■■■
 ◆બીજો ઉપદેશ ◆ પિંડ વિચાર
 【 નવ ચક્ર વર્ણન】
●●●●●●●●●
5【વિશુદ્ધિ ચક્ર】પોસ્ટ 10
આ ગ્રીવા(જીભ) પાછળ સંનિકટ જ સ્થિત છે. આ વિશુદ્ધિ ચક્ર માં સુષુમ્ણા નાડી ભવ્ય રૂપે જ્યોતિત છે. આ ચક્ર માં સુષુમ્ણા ના તેજોમય રૂપને કુંડલિની શક્તિ ની અનાહત કળા માનવામાં આવે છે. તે શિવના પ્રગાઢાલિંગન માં આનંદિત રહે છે. યોગી ની માનસિક અને જૈવિક શક્તિ અનાહત ચક્ર થી થઈ પૂર્ણ શુદ્ધ  તથા કેન્દ્રિત થઈ વિશુદ્ધિ ચક્ર તરફ ઉઠે છે.",1715586421.9017496
C65kn4crIT0,C6mBRPDo7rS,24,official_krishna_2004_,"લાભ // ૐ // લાભ
દ્વારકાધીશ કૃષ્ણ શ્રૃંગાર આરતી દર્શન તા.૧૩/૦૫/૨૦૨૪

👑જય દ્વાཞⅈકાⅅℍⅈશ👑

Facebook  Follow :- Ghanshyam vikani

Insta  Follow: -  @officel_krishna_2004_

#શુભ #ૐ #લાભ
#દ્વારકાધીશકૃષ્ણ #કૃષ્ણશ્રૃંગારઆરતીદર્શન.",1715586421.9017687
C62y2DoSR_w,C6mBRPDo7rS,16,shreekhodiyarmandir_matel,"🔱આઈ શ્રી ખોડીયાર માતાજી (માટેલ)🚩
⚜️આજ નાં દર્શન🐊
12/05/2024 રવિવાર 

 #jaykhodiyar #matel #khodiyarmaa #jaymataji🙏",1715586421.9017768
C629etmtia6,C6mBRPDo7rS,66,rajpara_khodiyar_chirag_bapu,"Shree Khodiyar Mandir (Rajpara)
*12-5-2024* 
*Sunday Darshan* 🙏🏻
Jay Khodiyar Maa 🔱
Chirag Puri Bapu....🚩
📲 90 65 69 69 69",1715586421.9017825
C62_mQcJe1w,C6mBRPDo7rS,88,_.dwarkadhish_official_,તા:12/05/2024,1715586421.9017866
C6lYZHhJ1GM,,1,maliksmriti_0205,Favourite 🤩,1715586424.7310476
C65plwOrKqP,,1,kkhushi_dwivedi,"I got a list of names, and yours is in red underlined",1715586427.4629438
C65ngpdMKNb,C6kra6CPGRq,3,foodiechori_,"Natraj pencil used to give a gareebo wali feeling. And not so surprised this pencil was indeed made for gareebs because the nib used to always break , that red colour of it looked like a sarkari bus and the sharpener of it was like the kuposhit breed of all the sharpeners ever existed, It was so little.

Now I wonder why the stationary guy handed me natraj pencil always.",1715586427.4629552
C63rdg1PZCm,C6kra6CPGRq,23,anish.ka99,#𝙼𝚢𝚠𝚛𝚒𝚝𝚎,1715586427.4629626
